2022 07-04, 00:25, 0.77 ms , 948.74 Mbps , 3.68 Mbps ,
2022 07-04, 00:55, 0.67 ms , 948.71 Mbps , 1.48 Mbps ,
2022 07-04, 01:26,
2022 07-04, 01:56, 0.91 ms , 951.02 Mbps , 125.85 Mbps ,
2022 07-04, 02:26, 0.83 ms , 945.25 Mbps , 123.35 Mbps ,
2022 07-04, 02:56, 0.90 ms , 950.60 Mbps , 134.24 Mbps ,
2022 07-04, 03:27, 0.90 ms , 947.91 Mbps , 488.33 Mbps ,
2022 07-04, 03:57, 0.85 ms , 948.84 Mbps , 745.90 Mbps ,
2022 07-04, 04:27, 0.70 ms , 948.47 Mbps , 948.83 Mbps ,
2022 07-04, 04:57, 0.83 ms , 950.54 Mbps , 948.83 Mbps ,
2022 07-04, 05:27, 0.78 ms , 947.63 Mbps , 948.79 Mbps ,
2022 07-04, 05:58, 0.83 ms , 945.51 Mbps , 948.76 Mbps ,
2022 07-04, 06:28, 0.91 ms , 948.74 Mbps , 947.85 Mbps ,
2022 07-04, 06:58, 0.89 ms , 948.57 Mbps , 948.57 Mbps ,
2022 07-04, 07:28, 0.82 ms , 949.74 Mbps , 947.82 Mbps ,
2022 07-04, 07:58, 0.93 ms , 946.34 Mbps , 948.38 Mbps ,
2022 07-04, 08:29, 0.82 ms , 951.43 Mbps , 948.45 Mbps ,
2022 07-04, 08:59, 0.75 ms , 949.43 Mbps , 948.77 Mbps ,
2022 07-04, 09:29, 0.88 ms , 948.67 Mbps , 948.81 Mbps ,
2022 07-04, 09:59, 0.82 ms , 948.05 Mbps , 948.69 Mbps ,
2022 07-04, 10:29, 0.85 ms , 949.86 Mbps , 948.89 Mbps ,
2022 07-04, 10:59, 0.96 ms , 947.50 Mbps , 948.46 Mbps ,
2022 07-04, 11:30, 0.81 ms , 945.69 Mbps , 858.56 Mbps ,
2022 07-04, 12:00, 0.89 ms , 944.13 Mbps , FAILED ,
2022 07-04, 12:30, 0.87 ms , 950.25 Mbps , 8.90 Mbps ,
2022 07-04, 13:01, 0.78 ms , 948.12 Mbps , 229.83 Mbps ,
2022 07-04, 13:31, 0.94 ms , 950.80 Mbps , 941.49 Mbps ,
2022 07-04, 14:01, 0.89 ms , 948.93 Mbps , FAILED ,
2022 07-04, 14:31, 0.82 ms , 946.92 Mbps , FAILED ,
2022 07-04, 15:02, 0.67 ms , 947.74 Mbps , FAILED ,
2022 07-04, 15:32,
2022 07-04, 16:02, 0.96 ms , 943.53 Mbps , FAILED ,
2022 07-04, 16:32, 0.80 ms , 950.79 Mbps , FAILED ,
2022 07-04, 17:03, 0.86 ms , 947.36 Mbps , FAILED ,
2022 07-04, 17:33, 0.87 ms , 949.08 Mbps , FAILED ,
2022 07-04, 18:03, 0.75 ms , 948.07 Mbps , 0.47 Mbps ,
2022 07-04, 18:34, 0.84 ms , 947.77 Mbps , FAILED ,
2022 07-04, 19:04, 0.72 ms , 944.66 Mbps , FAILED ,
2022 07-04, 19:34, 0.85 ms , 950.77 Mbps , 685.20 Mbps ,
2022 07-04, 20:05, 0.85 ms , 949.64 Mbps , FAILED ,
2022 07-04, 20:35, 0.85 ms , 948.88 Mbps , 867.88 Mbps ,
2022 07-04, 21:05, 0.90 ms , 947.71 Mbps , 948.80 Mbps ,
2022 07-04, 21:35, 0.80 ms , 950.20 Mbps , 948.76 Mbps ,
2022 07-04, 22:05, 0.87 ms , 950.03 Mbps , 672.77 Mbps ,
